file,subject,N,frames,down,up,eq,empty,total_drop,total_fill
Jalan1.csv,A,64,82,7,74,1,0,100,2662
Jalan10.csv,A,64,87,20,66,1,0,375,2257
Jalan11.csv,A,64,87,33,54,0,0,1044,2002
Jalan12.csv,A,64,98,34,62,2,0,615,2085
Jalan13.csv,A,64,103,28,74,1,0,568,2137
Jalan14.csv,A,64,81,3,78,0,0,31,2965
Jalan15.csv,A,64,239,40,196,3,0,603,6940
Jalan16.csv,A,64,229,45,181,3,0,779,6298
Jalan17.csv,A,64,194,67,126,1,0,1635,3688
Jalan18.csv,A,64,166,91,71,4,0,3188,1670
Jalan19.csv,A,64,222,53,169,0,0,1310,5668
Jalan2.csv,A,64,85,44,40,1,0,973,980
Jalan20.csv,A,64,174,58,115,1,0,889,3624
Jalan21.csv,A,64,149,50,98,1,0,1511,3223
Jalan22.csv,A,64,125,68,57,0,0,2200,1330
Jalan23.csv,A,64,424,41,376,7,0,586,14042
Jalan24.csv,A,64,433,131,292,10,0,2434,8717
Jalan25.csv,A,64,74,3,71,0,0,27,2371
Jalan26.csv,A,64,76,39,35,2,0,809,810
Jalan27.csv,A,64,71,37,32,2,0,1160,919
Jalan28.csv,A,64,52,2,50,0,0,12,1939
Jalan29.csv,A,64,48,15,33,0,0,399,1071
Jalan3.csv,A,64,85,44,41,0,0,1364,945
Jalan30.csv,A,64,66,17,49,0,0,252,1581
Jalan31.csv,A,64,64,1,63,0,0,16,2219
Jalan32.csv,A,64,53,1,52,0,0,3,2325
Jalan33.csv,A,64,66,4,62,0,0,38,2143
Jalan34.csv,A,64,63,12,50,1,0,151,1606
Jalan35.csv,A,64,61,24,37,0,0,501,1549
Jalan36.csv,A,64,71,22,47,2,0,436,1724
Jalan37.csv,A,64,77,14,62,1,0,253,2289
Jalan38.csv,A,64,60,12,47,1,0,109,1631
Jalan39.csv,A,64,182,39,143,0,0,538,5178
Jalan4.csv,A,64,60,5,55,0,0,42,2150
Jalan40.csv,A,64,178,57,119,2,0,1484,4140
Jalan41.csv,A,64,162,61,99,2,0,1770,3094
Jalan42.csv,A,64,112,50,60,2,0,1431,1872
Jalan43.csv,A,64,161,39,119,3,0,1038,4415
Jalan44.csv,A,64,135,51,83,1,0,1054,2991
Jalan45.csv,A,64,123,52,70,1,0,1641,2468
Jalan46.csv,A,64,96,54,41,1,0,1913,981
Jalan47.csv,A,64,295,44,249,2,0,845,8962
Jalan48.csv,A,64,312,96,211,5,0,2265,6962
Jalan49.csv,A,64,96,7,89,0,0,125,2987
Jalan5.csv,A,64,67,0,67,0,0,0,2998
Jalan50.csv,A,64,114,65,49,0,0,1542,1093
Jalan51.csv,A,64,117,55,59,3,0,1020,1596
Jalan52.csv,A,64,76,5,71,0,0,20,2762
Jalan53.csv,A,64,73,24,49,0,0,378,1570
Jalan54.csv,A,64,105,26,78,1,0,406,2547
Jalan55.csv,A,64,85,6,77,2,0,59,2905
Jalan56.csv,A,64,76,0,76,0,0,0,3506
Jalan57.csv,A,64,90,7,82,1,0,76,2865
Jalan58.csv,A,64,119,28,91,0,0,587,2868
Jalan59.csv,A,64,117,48,69,0,0,1200,2410
Jalan6.csv,A,64,71,5,65,1,0,60,2372
Jalan60.csv,A,64,118,4,114,0,0,59,4706
Jalan61.csv,A,64,141,23,118,0,0,372,3719
Jalan62.csv,A,64,132,50,81,1,0,1206,2227
Jalan63.csv,A,64,332,58,270,4,0,1028,9208
Jalan64.csv,A,64,310,68,242,0,0,1319,8571
Jalan65.csv,A,64,207,73,133,1,0,1601,3927
Jalan66.csv,A,64,179,97,81,1,0,3048,2280
Jalan67.csv,A,64,273,64,205,4,0,1728,7331
Jalan68.csv,A,64,202,81,120,1,0,2015,3976
Jalan69.csv,A,64,158,69,85,4,0,2145,2220
Jalan7.csv,A,64,87,13,71,3,0,230,2498
Jalan70.csv,A,64,133,69,63,1,0,2292,1911
Jalan71.csv,A,64,534,56,476,2,0,680,17264
Jalan72.csv,A,64,538,158,379,1,0,3332,12500
Jalan8.csv,A,64,55,16,37,2,0,369,1077
Jalan9.csv,A,64,73,4,68,1,0,17,2648
Jalan1.csv,B,64,94,13,79,2,0,133,2600
Jalan10.csv,B,64,96,29,65,2,0,573,2410
Jalan11.csv,B,64,98,16,81,1,0,131,2580
Jalan12.csv,B,64,106,32,73,1,0,798,2663
Jalan13.csv,B,64,112,48,63,1,0,875,1784
Jalan14.csv,B,64,105,20,83,2,0,403,2949
Jalan15.csv,B,64,296,43,251,2,0,699,9797
Jalan16.csv,B,64,264,64,197,3,0,1319,6921
Jalan17.csv,B,64,229,68,159,2,0,1342,4319
Jalan18.csv,B,64,191,104,83,4,0,2956,1904
Jalan19.csv,B,64,276,41,233,2,0,742,9574
Jalan2.csv,B,64,111,59,48,4,0,1770,1211
Jalan20.csv,B,64,248,45,202,1,0,593,7460
Jalan21.csv,B,64,208,94,113,1,0,2226,2950
Jalan22.csv,B,64,184,104,79,1,0,3034,1843
Jalan23.csv,B,64,471,79,379,13,0,1294,12381
Jalan24.csv,B,64,475,110,362,3,0,4225,13206
Jalan25.csv,B,64,77,7,70,0,0,98,2078
Jalan26.csv,B,64,84,41,42,1,0,1388,1106
Jalan27.csv,B,64,80,46,34,0,0,1328,971
Jalan28.csv,B,64,59,1,58,0,0,1,3130
Jalan29.csv,B,64,70,1,69,0,0,13,2918
Jalan3.csv,B,64,98,62,36,0,0,1582,917
Jalan30.csv,B,64,73,10,63,0,0,81,2459
Jalan31.csv,B,64,77,13,63,1,0,189,1810
Jalan32.csv,B,64,66,21,45,0,0,391,1613
Jalan33.csv,B,64,73,22,50,1,0,638,2004
Jalan34.csv,B,64,71,21,49,1,0,277,1866
Jalan35.csv,B,64,71,6,63,2,0,60,1954
Jalan36.csv,B,64,74,10,64,0,0,143,2156
Jalan37.csv,B,64,85,25,60,0,0,368,2073
Jalan38.csv,B,64,77,16,60,1,0,253,2185
Jalan39.csv,B,64,237,30,202,5,0,465,7703
Jalan4.csv,B,64,67,0,67,0,0,0,3492
Jalan40.csv,B,64,217,40,176,1,0,910,6795
Jalan41.csv,B,64,192,61,131,0,0,1427,3872
Jalan42.csv,B,64,146,68,75,3,0,1770,1845
Jalan43.csv,B,64,218,24,191,3,0,388,8124
Jalan44.csv,B,64,202,50,152,0,0,1222,5052
Jalan45.csv,B,64,185,71,109,5,0,1447,3110
Jalan46.csv,B,64,155,115,38,2,0,4076,687
Jalan47.csv,B,64,370,80,289,1,0,1382,10034
Jalan48.csv,B,64,402,101,298,3,0,3210,10287
Jalan49.csv,B,64,86,1,85,0,0,4,3274
Jalan5.csv,B,64,78,1,77,0,0,2,3346
Jalan50.csv,B,64,116,58,58,0,0,1573,1479
Jalan51.csv,B,64,116,54,59,3,0,1115,1595
Jalan52.csv,B,64,85,0,85,0,0,0,4361
Jalan53.csv,B,64,72,0,72,0,0,0,3518
Jalan54.csv,B,64,106,1,103,2,0,27,3797
Jalan55.csv,B,64,110,29,78,3,0,484,2757
Jalan56.csv,B,64,95,30,64,1,0,569,2216
Jalan57.csv,B,64,104,38,66,0,0,1397,2155
Jalan58.csv,B,64,116,30,86,0,0,451,3082
Jalan59.csv,B,64,106,13,92,1,0,145,2801
Jalan6.csv,B,64,95,1,93,1,0,13,3441
Jalan60.csv,B,64,105,15,89,1,0,162,3185
Jalan61.csv,B,64,125,27,97,1,0,528,3228
Jalan62.csv,B,64,120,22,94,4,0,587,2971
Jalan63.csv,B,64,337,36,298,3,0,497,11345
Jalan64.csv,B,64,304,50,253,1,0,999,8878
Jalan65.csv,B,64,244,79,162,3,0,1551,4733
Jalan66.csv,B,64,208,86,121,1,0,2259,3588
Jalan67.csv,B,64,353,49,303,1,0,863,12528
Jalan68.csv,B,64,276,68,206,2,0,1121,7584
Jalan69.csv,B,64,259,76,181,2,0,1547,5431
Jalan7.csv,B,64,93,32,61,0,0,513,1832
Jalan70.csv,B,64,216,101,115,0,0,2107,2848
Jalan71.csv,B,64,520,76,440,4,0,1393,15459
Jalan72.csv,B,64,515,105,407,3,0,3373,14782
Jalan8.csv,B,64,78,12,64,2,0,162,2057
Jalan9.csv,B,64,96,29,67,0,0,849,2259
Jalan1.csv,C,64,130,14,115,1,0,140,4026
Jalan10.csv,C,64,114,29,85,0,0,549,3042
Jalan11.csv,C,64,110,40,70,0,0,830,2628
Jalan12.csv,C,64,124,26,98,0,0,565,3320
Jalan13.csv,C,64,139,33,104,2,0,500,3111
Jalan14.csv,C,64,119,14,105,0,0,243,3834
Jalan15.csv,C,64,361,31,327,3,0,468,11799
Jalan16.csv,C,64,333,79,254,0,0,1313,8748
Jalan17.csv,C,64,305,77,225,3,0,1294,6662
Jalan18.csv,C,64,224,75,147,2,0,1699,4319
Jalan19.csv,C,64,326,47,275,4,0,657,9723
Jalan2.csv,C,64,128,47,77,4,0,957,2139
Jalan20.csv,C,64,302,32,269,1,0,886,9340
Jalan21.csv,C,64,261,92,167,2,0,1908,4950
Jalan22.csv,C,64,224,98,124,2,0,2406,3281
Jalan23.csv,C,64,519,46,468,5,0,682,17541
Jalan24.csv,C,64,576,105,469,2,0,2740,15946
Jalan25.csv,C,64,90,9,80,1,0,124,2667
Jalan26.csv,C,64,127,49,76,2,0,1090,2104
Jalan27.csv,C,64,94,37,55,2,0,982,1560
Jalan28.csv,C,64,64,0,64,0,0,0,3361
Jalan29.csv,C,64,60,0,60,0,0,0,2878
Jalan3.csv,C,64,147,69,78,0,0,1857,1837
Jalan30.csv,C,64,77,0,76,1,0,0,3315
Jalan31.csv,C,64,95,6,89,0,0,25,3435
Jalan32.csv,C,64,80,31,48,1,0,912,1540
Jalan33.csv,C,64,85,28,57,0,0,675,2114
Jalan34.csv,C,64,88,17,71,0,0,288,2773
Jalan35.csv,C,64,88,6,82,0,0,46,2991
Jalan36.csv,C,64,102,29,73,0,0,862,2736
Jalan37.csv,C,64,94,16,77,1,0,253,2099
Jalan38.csv,C,64,78,9,69,0,0,86,2652
Jalan39.csv,C,64,241,25,215,1,0,391,7965
Jalan4.csv,C,64,80,0,79,1,0,0,3964
Jalan40.csv,C,64,247,61,183,3,0,1007,6491
Jalan41.csv,C,64,200,46,152,2,0,800,4321
Jalan42.csv,C,64,144,57,84,3,0,993,2160
Jalan43.csv,C,64,237,44,192,1,0,855,7018
Jalan44.csv,C,64,251,60,186,5,0,1124,5657
Jalan45.csv,C,64,206,52,152,2,0,995,4755
Jalan46.csv,C,64,198,72,119,7,0,1778,3336
Jalan47.csv,C,64,395,39,355,1,0,539,14039
Jalan48.csv,C,64,429,70,356,3,0,2165,12640
Jalan49.csv,C,64,122,16,105,1,0,247,3398
Jalan5.csv,C,64,65,0,65,0,0,0,3035
Jalan50.csv,C,64,155,47,105,3,0,1002,3239
Jalan51.csv,C,64,140,73,65,2,0,1713,1677
Jalan52.csv,C,64,87,0,87,0,0,0,4150
Jalan53.csv,C,64,78,0,78,0,0,0,3549
Jalan54.csv,C,64,111,0,111,0,0,0,4577
Jalan55.csv,C,64,126,28,96,2,0,321,2967
Jalan56.csv,C,64,109,24,85,0,0,526,2923
Jalan57.csv,C,64,124,53,71,0,0,1397,2714
Jalan58.csv,C,64,125,29,96,0,0,689,3383
Jalan59.csv,C,64,129,12,116,1,0,101,3923
Jalan6.csv,C,64,93,0,93,0,0,0,3700
Jalan60.csv,C,64,147,27,120,0,0,698,4229
Jalan61.csv,C,64,129,30,99,0,0,482,3016
Jalan62.csv,C,64,115,8,106,1,0,68,3862
Jalan63.csv,C,64,351,33,315,3,0,347,11414
Jalan64.csv,C,64,333,46,282,5,0,834,9807
Jalan65.csv,C,64,279,56,221,2,0,719,7005
Jalan66.csv,C,64,230,63,161,6,0,984,4632
Jalan67.csv,C,64,280,25,252,3,0,132,8891
Jalan68.csv,C,64,278,30,248,0,0,381,8552
Jalan69.csv,C,64,257,53,204,0,0,815,6567
Jalan7.csv,C,64,138,10,127,1,0,95,4454
Jalan70.csv,C,64,226,73,153,0,0,1237,4398
Jalan71.csv,C,64,557,58,494,5,0,710,17496
Jalan72.csv,C,64,601,143,453,5,0,4439,14190
Jalan8.csv,C,64,109,32,75,2,0,688,2713
Jalan9.csv,C,64,104,6,97,1,0,70,2855
Jalan1.csv,D,64,91,13,76,2,0,186,2709
Jalan10.csv,D,64,90,22,68,0,0,428,2471
Jalan11.csv,D,64,96,11,81,4,0,68,2618
Jalan12.csv,D,64,112,24,87,1,0,754,2798
Jalan13.csv,D,64,115,20,94,1,0,309,2852
Jalan14.csv,D,64,96,13,83,0,0,282,2962
Jalan15.csv,D,64,274,23,249,2,0,213,10005
Jalan16.csv,D,64,271,57,213,1,0,953,7144
Jalan17.csv,D,64,237,49,182,6,0,1060,5993
Jalan18.csv,D,64,186,65,121,0,0,1238,3570
Jalan19.csv,D,64,264,24,235,5,0,383,8511
Jalan2.csv,D,64,101,47,52,2,0,1272,1232
Jalan20.csv,D,64,268,45,221,2,0,885,7751
Jalan21.csv,D,64,251,91,158,2,0,2122,4636
Jalan22.csv,D,64,202,65,134,3,0,1282,3139
Jalan23.csv,D,64,454,88,361,5,0,1521,11760
Jalan24.csv,D,64,465,106,357,2,0,3259,11349
Jalan25.csv,D,64,73,4,69,0,0,67,2108
Jalan26.csv,D,64,93,47,46,0,0,1039,1097
Jalan27.csv,D,64,83,30,51,2,0,811,1572
Jalan28.csv,D,64,47,0,47,0,0,0,2502
Jalan29.csv,D,64,64,1,63,0,0,5,2783
Jalan3.csv,D,64,98,50,47,1,0,1555,1534
Jalan30.csv,D,64,76,0,76,0,0,0,2968
Jalan31.csv,D,64,71,18,53,0,0,255,1744
Jalan32.csv,D,64,55,20,34,1,0,448,1360
Jalan33.csv,D,64,63,16,47,0,0,545,1763
Jalan34.csv,D,64,71,13,57,1,0,167,2008
Jalan35.csv,D,64,77,8,67,2,0,76,2134
Jalan36.csv,D,64,72,14,57,1,0,275,1854
Jalan37.csv,D,64,86,21,63,2,0,353,2145
Jalan38.csv,D,64,71,12,59,0,0,318,2248
Jalan39.csv,D,64,218,19,198,1,0,315,7349
Jalan4.csv,D,64,71,0,71,0,0,0,3698
Jalan40.csv,D,64,189,36,150,3,0,813,5397
Jalan41.csv,D,64,167,36,131,0,0,775,4200
Jalan42.csv,D,64,149,59,88,2,0,1559,2381
Jalan43.csv,D,64,221,23,197,1,0,335,7393
Jalan44.csv,D,64,208,40,166,2,0,970,5878
Jalan45.csv,D,64,190,44,141,5,0,1201,4075
Jalan46.csv,D,64,150,56,93,1,0,1467,2526
Jalan47.csv,D,64,341,50,288,3,0,1013,9089
Jalan48.csv,D,64,338,57,277,4,0,1726,10214
Jalan49.csv,D,64,104,12,88,4,0,203,3250
Jalan5.csv,D,64,67,1,66,0,0,2,3060
Jalan50.csv,D,64,116,61,50,5,0,1519,1107
Jalan51.csv,D,64,107,36,71,0,0,743,2246
Jalan52.csv,D,64,73,0,73,0,0,0,3839
Jalan53.csv,D,64,84,0,84,0,0,0,3975
Jalan54.csv,D,64,105,8,96,1,0,49,3383
Jalan55.csv,D,64,99,11,86,2,0,199,2730
Jalan56.csv,D,64,89,30,58,1,0,654,2329
Jalan57.csv,D,64,109,37,72,0,0,971,2544
Jalan58.csv,D,64,114,28,85,1,0,709,2961
Jalan59.csv,D,64,107,8,99,0,0,66,2967
Jalan6.csv,D,64,91,12,78,1,0,73,2724
Jalan60.csv,D,64,112,12,98,2,0,153,3105
Jalan61.csv,D,64,138,37,101,0,0,773,3203
Jalan62.csv,D,64,118,32,85,1,0,823,2489
Jalan63.csv,D,64,258,18,240,0,0,379,8930
Jalan64.csv,D,64,287,59,226,2,0,1101,8638
Jalan65.csv,D,64,256,81,173,2,0,1871,5101
Jalan66.csv,D,64,198,74,121,3,0,1403,3356
Jalan67.csv,D,64,290,42,246,2,0,943,9974
Jalan68.csv,D,64,277,50,223,4,0,1067,7603
Jalan69.csv,D,64,274,81,191,2,0,2014,6170
Jalan7.csv,D,64,95,25,69,1,0,333,2274
Jalan70.csv,D,64,218,71,146,1,0,1540,3987
Jalan71.csv,D,64,476,82,390,4,0,1558,13593
Jalan72.csv,D,64,507,106,398,3,0,3181,12804
Jalan8.csv,D,64,83,27,56,0,0,536,2123
Jalan9.csv,D,64,94,36,58,0,0,1325,2178
Jalan1.csv,E,64,97,21,74,2,0,253,2241
Jalan10.csv,E,64,84,24,58,2,0,436,1955
Jalan11.csv,E,64,89,20,68,1,0,257,2446
Jalan12.csv,E,64,92,26,66,0,0,795,2318
Jalan13.csv,E,64,98,37,59,2,0,554,1667
Jalan14.csv,E,64,86,14,71,1,0,289,2165
Jalan15.csv,E,64,256,14,239,3,0,107,8731
Jalan16.csv,E,64,241,51,187,3,0,1069,6885
Jalan17.csv,E,64,241,63,177,1,0,1277,5830
Jalan18.csv,E,64,167,74,92,1,0,1424,2449
Jalan19.csv,E,64,232,39,191,2,0,510,7135
Jalan2.csv,E,64,98,49,49,0,0,1736,1315
Jalan20.csv,E,64,214,60,153,1,0,1211,5328
Jalan21.csv,E,64,191,39,148,4,0,969,4727
Jalan22.csv,E,64,159,79,79,1,0,1885,1992
Jalan23.csv,E,64,382,59,321,2,0,693,10868
Jalan24.csv,E,64,396,107,286,3,0,3424,9051
Jalan25.csv,E,64,61,3,58,0,0,63,1849
Jalan26.csv,E,64,77,33,44,0,0,828,1054
Jalan27.csv,E,64,72,39,32,1,0,1280,989
Jalan28.csv,E,64,54,0,54,0,0,0,2788
Jalan29.csv,E,64,51,0,50,1,0,0,1825
Jalan3.csv,E,64,94,40,53,1,0,972,1542
Jalan30.csv,E,64,67,12,54,1,0,130,1793
Jalan31.csv,E,64,80,33,44,3,0,575,1553
Jalan32.csv,E,64,66,19,47,0,0,312,2063
Jalan33.csv,E,64,68,22,46,0,0,721,1770
Jalan34.csv,E,64,69,16,52,1,0,357,1887
Jalan35.csv,E,64,70,22,48,0,0,337,1509
Jalan36.csv,E,64,75,16,59,0,0,315,1873
Jalan37.csv,E,64,80,23,55,2,0,362,1703
Jalan38.csv,E,64,69,11,57,1,0,210,1744
Jalan39.csv,E,64,189,20,167,2,0,200,6216
Jalan4.csv,E,64,69,0,69,0,0,0,3400
Jalan40.csv,E,64,161,41,120,0,0,1180,4274
Jalan41.csv,E,64,166,56,110,0,0,1224,2814
Jalan42.csv,E,64,141,79,61,1,0,2067,1428
Jalan43.csv,E,64,192,24,166,2,0,281,5924
Jalan44.csv,E,64,183,52,129,2,0,1100,3987
Jalan45.csv,E,64,146,53,91,2,0,1140,2371
Jalan46.csv,E,64,122,67,54,1,0,1830,1116
Jalan47.csv,E,64,305,68,234,3,0,1036,7859
Jalan48.csv,E,64,320,86,233,1,0,2790,8262
Jalan49.csv,E,64,99,11,87,1,0,95,2262
Jalan5.csv,E,64,67,0,67,0,0,0,2751
Jalan50.csv,E,64,93,47,44,2,0,1283,1168
Jalan51.csv,E,64,129,57,71,1,0,1001,1934
Jalan52.csv,E,64,83,0,83,0,0,0,3865
Jalan53.csv,E,64,102,1,101,0,0,6,3868
Jalan54.csv,E,64,111,8,101,2,0,40,3404
Jalan55.csv,E,64,135,50,85,0,0,1054,2754
Jalan56.csv,E,64,116,45,71,0,0,725,2689
Jalan57.csv,E,64,106,29,77,0,0,453,2364
Jalan58.csv,E,64,111,33,76,2,0,564,2633
Jalan59.csv,E,64,109,41,68,0,0,1419,2389
Jalan6.csv,E,64,81,5,75,1,0,17,2757
Jalan60.csv,E,64,124,40,82,2,0,956,2685
Jalan61.csv,E,64,172,52,119,1,0,1343,3331
Jalan62.csv,E,64,155,28,126,1,0,452,3747
Jalan63.csv,E,64,331,47,283,1,0,681,10738
Jalan64.csv,E,64,307,74,233,0,0,1347,8559
Jalan65.csv,E,64,269,73,193,3,0,1966,5435
Jalan66.csv,E,64,233,95,133,5,0,2198,2898
Jalan67.csv,E,64,251,27,223,1,0,485,7815
Jalan68.csv,E,64,201,88,110,3,0,2438,2883
Jalan69.csv,E,64,228,52,176,0,0,1302,5640
Jalan7.csv,E,64,86,28,57,1,0,433,1772
Jalan70.csv,E,64,163,87,74,2,0,2394,1874
Jalan71.csv,E,64,467,89,375,3,0,1600,12659
Jalan72.csv,E,64,436,158,268,10,0,4917,7676
Jalan8.csv,E,64,85,27,57,1,0,411,2162
